Temperature (T),Ca,Cb,res_nonlinear,res_lin_500K,res_lin_600K,res_affine
577.5551102204408,0.3410286450331634,0.6820572900754254,2.8623617254197598e-08,-505.75867141902563,-779.6431865498889,-718.1701090054867
578.1963927855711,0.3408047552579232,0.6816095105168737,-1.1213705874979496e-07,-513.5486488882088,-734.7550849467516,-686.5241024955102
578.8376753507014,0.3405814755941845,0.6811629511982873,-3.3614924177527428e-09,-521.3882560956845,-691.2550710833166,-655.3073042242105
579.4789579158316,0.3403588036420765,0.6807176072904804,-2.9831426218152046e-09,-529.2772970265432,-649.1376626442652,-624.5410665736144
580.1202404809619,0.3401367369990206,0.6802734740028235,-3.1141098588705063e-09,-537.2155766379001,-608.3974044998176,-594.2466282996128
580.7615230460922,0.339915273275198,0.6798305465692416,-1.213775249198079e-07,-545.2029008986137,-569.028869818896,-564.4451162791223
581.4028056112224,0.3396944101137801,0.6793888202261258,-3.6670826375484467e-09,-553.2390767390025,-531.0266586593352,-535.1575452280589
582.0440881763527,0.3394741451341775,0.6789482902715659,-3.739842213690281e-09,-561.323912117994,-494.3853998503182,-506.40482008916337
582.685370741483,0.3392544759905283,0.678508952003645,1.2482632882893085e-07,-569.4572159360105,-459.0997485516127,-478.20773488831003
583.3266533066133,0.3390354003636299,0.678070800731025,-3.3760443329811096e-09,-577.6387981031585,-425.16438816394657,-450.5869751518071
583.9679358717435,0.338816915904869,0.6776338318257421,-3.92901711165905e-09,-585.8684694504773,-392.57402784517035,-423.56311667968845
584.6092184368738,0.3385990203254893,0.6771980406362342,1.2101372703909874e-07,-594.1460417921626,-361.32340425020084,-397.1566278237932
585.2505010020041,0.3383817113010001,0.6767634225830936,-2.4365726858377457e-07,-602.4713279298958,-331.4072816541884,-371.38787044355115
585.8917835671343,0.3381649865393115,0.6763299730860065,-4.190951585769653e-09,-610.8441415193665,-302.820448217215,-346.27709753278896
586.5330661322646,0.3379488437887071,0.6758976875629571,-3.725290298461914e-09,-619.2642972648318,-275.557721426012,-321.84445869328374
587.1743486973949,0.3377332807497414,0.6754665614880228,1.2602133210748434e-05,-627.7316100973403,-249.61392511124723,-298.10998090104647
587.815631262525,0.3375182952039953,0.6750365903854235,-2.4822656996548176e-07,-636.2458985045596,-224.9839825781528,-275.0936508914305
588.4569138276553,0.3373038848660478,0.6746077697347903,-3.958120942115784e-09,-644.8069779483922,-201.6627325040754,-252.81525462349967
