model,run,mu_rxn,mu_mb,training_time_sec,rmse_total,violation_pl,violation_original_nonlinear,violation_rxn,violation_mb,prediction_time_sec
KKThPINN,15,0.0,0.0,27.54682754492387,0.0292188351433312,8.471981286441085e-14,0.5960150957146566,1.1920301914293125,6.236841108923673e-16,0.0028076819144189358
KKThPINN,16,0.0,0.0,27.006339892279357,0.026799670876195145,4.576078078557925e-14,0.9308115029626916,1.8616230059253827,4.734774663842579e-16,0.002830434124916792
KKThPINN,17,0.0,0.0,27.45307990629226,0.031231191755363798,3.0256842782872646e-14,1.0611814731320885,2.1223629462641767,4.996003610813204e-16,0.0028563844971358776
KKThPINN,18,0.0,0.0,26.8360549909994,0.02009576380196259,5.471113758116029e-14,0.16219412472472008,0.3243882494494396,5.551115123125783e-16,0.002700424287468195
KKThPINN,19,0.0,0.0,27.118531430140138,0.035461729386904686,3.652960287200478e-14,0.30153533757962975,0.603070675159259,4.669467427099923e-16,0.002774109598249197
KKThPINN,20,0.0,0.0,26.928252761252224,0.036127936498110136,2.855232390388932e-14,1.0580753810316421,2.116150762063284,4.636813808728595e-16,0.0027485149912536144
KKThPINN,21,0.0,0.0,26.92221045633778,0.026618291962710216,5.621320402624138e-14,0.3273561289821122,0.6547122579642238,5.747036833353752e-16,0.0027294480241835117
KKThPINN,22,0.0,0.0,26.627157017122954,0.022578549588649896,3.2033199622272896e-14,0.40254083269585206,0.8050816653917036,4.767428282213907e-16,0.002860789652913809
KKThPINN,23,0.0,0.0,26.961020057089627,0.02597708454106214,4.46211695044199e-14,0.47523614045070156,0.9504722809014025,5.714383214982424e-16,0.0027337558567523956
KKThPINN,24,0.0,0.0,26.977173834107816,0.027370847873148214,5.992265507322426e-14,0.22482328013564604,0.4496465602712915,5.94295854358172e-16,0.0028371289372444153
KKThPINN,25,0.0,0.0,26.708163620904088,0.034801342397435236,6.927791673660977e-14,1.656820520679092,3.3136410413581836,6.040919398695705e-16,0.0027979654259979725
KKThPINN,26,0.0,0.0,27.11359659396112,0.02715945572846084,7.141672873993176e-14,0.3400786776639238,0.6801573553278472,5.714383214982424e-16,0.0027080150321125984
KKThPINN,27,0.0,0.0,27.087964289821684,0.03317081877379951,4.239745809333245e-14,1.8907105332525571,3.781421066505114,5.191925321041174e-16,0.0029013296589255333
KKThPINN,28,0.0,0.0,27.592724063899368,0.03691016461788262,3.417854234926916e-14,0.5541335000949033,1.1082670001898058,5.485807886383127e-16,0.0028308890759944916
KKThPINN,29,0.0,0.0,27.68317668605596,0.03549547307627071,5.620993866440425e-14,1.754372261867714,3.5087445237354276,5.420500649640471e-16,0.002739903051406145
KKThPINN,30,0.0,0.0,27.020736710634083,0.03471703003823743,3.942597882154159e-14,2.0455372468679394,4.091074493735878,4.767428282213907e-16,0.002681670244783163
KKThPINN,31,0.0,0.0,27.31867693597451,0.02705127191519674,5.515522679101035e-14,0.22339667659337395,0.4467933531867473,6.171533872181017e-16,0.002711331471800804
KKThPINN,32,0.0,0.0,27.064758714288473,0.02859647870629003,6.033735602654013e-14,0.6528597984203599,1.3057195968407191,5.714383214982424e-16,0.002681680954992771
KKThPINN,33,0.0,0.0,26.926990922074765,0.03641467643360667,7.016609515630989e-14,1.672568859140826,3.345137718281652,6.073573017067033e-16,0.0027888761833310127
KKThPINN,34,0.0,0.0,27.01944613736123,0.033877832169616005,4.760897558539642e-14,1.5397917563809755,3.0795835127619506,4.669467427099923e-16,0.002762553747743368
KKThPINN,35,0.0,0.0,26.863304776139557,0.03786139787054821,2.110076819155224e-14,1.5323965126851824,3.0647930253703644,4.636813808728595e-16,0.002794134896248579
KKThPINN,36,0.0,0.0,26.834576106164604,0.025307157492261066,5.494624363343385e-14,0.46414361875113386,0.9282872375022672,4.767428282213907e-16,0.0027318312786519527
